,text,label
138,is great is slow certain ,2
139,think is only good reading not very fast not be able do else ,2
140,really want not let download do not have sign ,2
141,bought was closing find is okay not ipad is fine intended not be happy needed use primary is lower then current have not found upgrade ,2
142,bought give thought was good decided purchase ,2
143,not so great prefer larger ,2
144,mean want just tablet read browse fine ,2
145,well too much little ,2
146,bad bad is too many adds not take ,2
147,do not want download ,2
148,so far so good is not bright clear then again only paid ,2
149,is good especially already has amazon prime only is is only has ,2
150,sounded was included was not ,2
151,is not recommended have inpatient ,2
152,afford get go however is great starter kindle ,2
153,got old previous cracked dropped was not too impressed had wait be setup found was too reliant most work inserting sd other was hoping be easy view videos had such hard figuring took long show because was not connected wifi did not recognize files once did connect was annoying see were displayed overall good just did not are installed rely paid ,2
154,purchased not put ,2
155,are use have nice only recommend ,2
156,have ,2
157,ok set old own setting dies really fast not even make long having plug ,2
158,amazon is great needs be have keep replacing had died single has broken ,2
159,great bought use are always using only really do not like is have so many grown makes stop little old get wish were little more friendly as far getting want be just deal ,2
160,great got ranging old only think is charging going bad super ooose hard charge ,2
161,bought was not expected wanted return ,2
162,not greatest very good entertaining cheap ,2
163,great once figured are easy download ,2
164,bought works amazing only was are required place use say are looking vs ,2
165,decent black friday is inadequate play using added sd not do only transfer etc earned are retained internal not sd videos be stored sd is very sharp ,2
166,purchased is help learning read write big is even free purchase add unlock more ,2
167,good is not so good ,2
168,kindle free get wanted long found bought ,2
169,paid bought later not connect wifi have return ,2
170,good is does had more not expect much inexpensive do love is are free great ,2
171,ordered received ordered even got fell fro cracked called was told had free so made geek called take go tell do not have is not do honestly got not do fine just tell do not male gp allthe waste ended better bigger still works is cracked well ,2
172,pretty slow re trying use full good sometimes ,2
173,alright learn use ,2
174,too many get little tough adjust coming ,2
175,decent expect just basic is ipad be sure are not expecting ,2
176,brought so far ,2
177,not best decent lackluster ,2
178,bought older has clearer find be cheaper definitely great felt flimsy ,2
179,bought is good simple being ,2
180,only bad say is using certain have turn completely get main ,2
181,easy read great reading easy download ,2
182,came not pass turns runs slower expected has older just seems run smoother still nice browsing paying wearing ,2
183,great catch ,2
184,are pretty unhappy several most popular tube are not compatible now know was so great really only run be returning getting different ,2
185,picked old used using not bad little not worried happens ,2
186,ok does not shutdown properly notified tried fix wanted replace said put hard ,2
187,here especially elderly ,2
188,great bought loved ,2
189,good only like little play not do not think have high ,2
190,bought do not know love be ,2
191,purchased ,2
192,works well so far ouch comes amazon be hitched download free wants downloading has attached even free accessing ,2
193,great amazon is def just do not not get real ,2
194,had loved got ,2
195,is okay does not due normal due social such are not accessible due being had known not have purchased ,2
196,was proprietary takes away actual ,2
197,good basic upgrade is ,2
198,once learn use am sure enjoy more do have scrolling ,2
199,great reading not great comes else ,2
200,got black friday paid ,2
201,somewhat substandard are certainly better gets done ,2
202,very hard set paying freetime once got finally set smoothly does not seem last very long ,2
203,was ok is not very good say least overall ,2
204,is great first just smaller current ,2
205,ordered several send were ,2
206,add extra overall great ,2
207,bought old wanted play read is good is too small elderly made feel was getting was very cheap black ,2
208,was excited get kept closing returned do not have frustrated is upset ,2
209,is good basic watch play few touch be improved ,2
210,good basic ,2
211,is realy nice have lots free easy use put sd more ,2
212,is first used kindle used before is different are used android not be thrilled even looks is not available not basic are included had do over again spend get actual ,2
213,kindle definitely have charging have older have getting charge are better not having plug still continue purchase new reasonable due have made hopefully design better charging ,2
214,good has big is big ,2
215,great everyday watches favorite ,2
216,easy operate did not had keep trying put same more once more putting have wifi look downloaded do not ok ,2
217,good basic already have amazon sent new ,2
218,is very easy light use love ,2
219,good black ,2
220,brought decent ,2
221,not sure first kindle no longer charge properly was cheaper get new rather attempt have old fixed has already had charging properly however believe have been charging not ,2
222,is great reading watching ,2
223,very good just do not forget ask ,2
224,purchased wanted liked use own had total used viewed is lot faster older is pretty durable well ,2
225,purchased well are no longer together divorced not purchase so merry little loves easy learn great ,2
226,is not easy use is got used ,2
227,bought use now then loves gives etc having get external most already built like as well not so much navigating ,2
228,okay not enough better ,2
229,wellusually pretty wifi is not as strong more expensive other kindle sfrequent re looking cheap works does re looking top bin is not ,2
230,made very good ,2
231,nit was not sure is ,2
232,great starter let kindle still pretty awesome ,2
233,good older likes ,2
234,gave so heard has been working very well ,2
235,old loves only be used ,2
236,had return was little slow ,2
237,great little loves ,2
238,pretty basic lagging works ,2
239,bought has been biggest have ever seen never give again better being ,2
240,good enough does not work ,2
241,giving because have not used much only watch few ve had aprox sometimes goes blank have is maybe not making big bought black not have do not think buy again ,2
242,is too narrow watching utube is cut not erase entire keeps then recommends still based even tho have cleared selling is very tiresome never go follows yet ubiquitous had was perfect discontinued is fingerprint have clean daily ,2
243,good very limited apps only basic surfing ,2
244,are looking inexpensive keep everyday casual then is good ,2
245,had run so purchased miss ,2
246,bought tell not highest have be tied amazon really enjoy definitely nice functioning ,2
247,bought old not get gave stars does not support play store does not load most sometimes need purchase gb ,2
248,not download tv ,2
249,very slow old loves recommend elder young ,2
250,ended returning was too slow bought so not have look stuff ended being slow so just ended always using ,2
251,prefer okay just many tho ,2
252,do not know use stupid sure love ve downloaded seem be fairly entertained darn bought ended getting second so stop fighting ,2
253,good inexpensive control open slower other everyting expected is not available ,2
254,is not bad personally need little more high plastic does not do has expandable sd decent gifted loves ,2
255,bought gift old loved plays ,2
256,bought old perfect great good ,2
257,is low is lacking other doesnt come decent refill have charge overnight ,2
258,recently purchased has little so are watching still use illuminating entire are average just other is little bulky gets done pretty sturdy dropped have much good is add own create more ,2
259,love are too young trust such works efficiently love love parental happens handles quickly were break get lost cheap replace being said obviously does not hold samsung not really ,2
260,logging be difficult lettersare not shown even temporarily so inadvertent find signing is not clear be done free fail allowing was hoping little more was ok basic ,2
261,priced modest is totally capable satisfy basic ,2
262,is nice have however do not making not being able download also do not amazon ,2
263,good light enough small carry got well was good little tend drop not lot enough ,2
264,great first needed larger comes handy ,2
265,not user friendly play store etc definitely needs be improved ,2
266,works was inexpensive has short ,2
267,great starter very inexpensive durable ,2
268,bought hoping cheaper not familiar os overall not excited ,2
269,is very well built only is ,2
270,ok especially apps ,2
271,needed watching netfix is done ,2
272,recommend quite compact easy use good ,2
273,have played great have had do other yet ,2
274,good good reading not good much else ,2
275,decent knew not be fast does get done was relatively cheap ,2
276,does expect not spectacular gets done ,2
277,is great however are paying goes very quickly daily are necessary re heavy also not save mini sd thus making ,2
278,best just bought compared other leading good ,2
279,is possibly best are amazon prime centric does not include google does not include most are is skip cheap meets love ,2
280,did not care had downloading ,2
281,is great reading doodling ,2
282,is great little as long not looking do ll be happy was given was very happy ,2
283,consistent do not really use simply not replace are poor relative few ago so have not found kindle generally just feels cheap not as clean think is consistent low ,2
284,fine basic other not so great very entry ,2
285,bought expecting same have received previous purchased am disappointed is just not just want older kindle mostly use reading so far dissatisfied great swipe next want go else reading find difficult open instead just finally get lost downloaded very slow amazons telling get come use search too is slow compared older is noticible know are other cool mostly use read check maybe pinterest priced well want user friendly have already figured recommend are technologically not savvy ,2
286,did needed do took get bigger ,2
287,works great just not quite wanted ,2
288,comes being only ipad was very young sole now is steal watch operates very well giving returning less so did not give much first seems really wants sign amazon free guessing be whole smoother did so created moved opened got popular not locate repeated got open only get warning is restricted amazon free app so have join unlock technically savy so was frustrated did not bear well maybe was did not look not have couple amazon prime pops up was enough so going back get tablet click get are expecting had try not ,2
289,better then most same still suggests least okay is functions supposed ,2
290,do not mind slow is good ,2
291,say is great are very limited are only few good free store is very poor is loud not be heard hard find good still good ,2
292,do not care much have purchase used daily ,2
293,anonymous so much simple tube are hassle get know are lost great simple surfing do free underground arrived replacing let see goes ,2
294,was best having worked waiting saw saw great bought have been pleased friendly ,2
295,is good basic bought old only is does not have most popular loves so still have use ,2
296,good compared earlier not durable outside is plastic not good good ,2
297,great get are down only left killed sadly setting be pain keep asking add more have delete old add more starting dislike more then ,2
298,are not download good ,2
299,was given likes ,2
300,fast open not very good come ,2
301,good external is nice ,2
302,purchased mainly read died not beat is not as good other more like black oppose crisp white be little difficult read higher ,2
303,only did not like was had sign amazon prime get unlimited ended paying little more ,2
304,bought first few back was loved took had recently begun think buying think original probably be more comparable so is colored higher first also use surface pro personal too probably color is lighter original powering original is now replaced more standard processing feels little slow had original struggle new is not terrible is not terribly fast want good few extra is great re looking serious small wish add bit more get older ,2
305,initially bought been using everyday protective only have really is charging is horrible very difficult insert charger easily have defective have return charging is quite loose was right be little better ,2
306,not bad pretty much expected paid old loves ,2
307,good was looking lost is pretty good not much ,2
308,bought old was complicated use not figure be able explain was visiting returned bought different ,2
309,so love have saw got just have am prime figured use too only is expand had be amazing so then expanded have more watch is horrible so say have younger child be decent compares ,2
310,get pay small ok was annoying was have pay remove not have pay remove ,2
311,ok not advertized not able upgrade ,2
312,is crack already ,2
313,are awesome is easy operate move around has stalled has very low is hard hear ,2
314,looking simple does basic is ,2
315,really liked starter ,2
316,good fast does want mainly plays few alright ,2
317,first got was damaged overall decent got say is only remain ,2
318,great is right load is unlimited keep ,2
319,have been happy used internet play ,2
320,is nice watch good cool ,2
321,very simple good checking surfing very amazon intense ,2
322,are fan ipad then not like give want play watch loves read only amazon prime ,2
323,just ok does not have google limits wide think now offer most nope slow does not load good poor functions cheap did not expect did expect better ,2
324,navigating be somewhat confusing not get better ,2
325,was really hoping take did not works decent stream ,2
326,works easy reading is also very lightweight ,2
327,bought thinking was is as long am strong does not pick wifi good is very weak connect elsewhere like have be right does not pick find also amazon be ,2
328,is great is not expensive is lost broken bought second works great ,2
329,good wanted simple got ,2
330,old serves purpose is playing listening ,2
331,bought stop does needs battery is horrible ,2
332,are buying is great buy kids come same ,2
333,bought replace kindle good much heavier old white easy organize find smooth so far ,2
334,had replace original due recharge now is pain use kindle ,2
335,slightly slow however really good also amazon do not use normal use is not as extensive be significant ,2
336,have been little more packed was ,2
337,do not perform too well pay definitely ,2
338,good best used not really ,2
339,too low reading getting ve used instead ,2
340,loves read so is perfect updates is very easy use do not as fragile is old has has already cracked not too happy ,2
341,good reading love still need get used have used are ,2
342,got black friday great little is not fast gets done ,2
343,nice nice ,2
344,great starts acting not get fix ,2
345,smaller processing is not very good said not beat ,2
346,very good ohio great are not real responsible did not buy priced little high was as priced as low were ,2
347,good decent few drains quickly ,2
348,free does not work download are limited ,2
349,great is amazing great watching are locked only available not download even additionally is linked amazon basically unusable do not have valid bought additional non amazon not download ,2
350,got ,2
351,is good works as advertised lately is constantly having keeping enet even worse has updating were told is larger amazon ,2
352,just want watch shop does not enough do much else great ,2
353,is good not very good wifi terrible ,2
354,own are young take tear recently charging no longer connect was working just fine no longer be charged is no longer functioning am really disappointed buying love being able play really not beat ,2
355,seems good not sure much allows spy major does not connect lap top elsewhere not sure wifi contact see tell otherwise recommend ,2
356,was bit difficult initially set be great does not hold well seems maybe goes re ,2
357,is not cheap was going be definitely not ipad not bad is ordered online did not have arrived is decent is loud enough scrolling real smoothly major down is battery charging built arrived was showing remaining less use had be charged just read take longer charge ipad fully charge few built is not enough get micro however only install built also not delete amazon apps voiding missing not move either so are looking use casually surfing email watching reading occasional be just fine keeping built not be doing serious be fair is ipad ipad do not believe meant be direct were fail miserably ,2
358,were young are really enjoying initial was ,2
359,great young teen ,2
360,had very slow started good has been getting slower cleared still not good ,2
361,is perfect ,2
362,is great minor have not had long able use bought ,2
363,was nice nice good ,2
364,limited not easy touch good ,2
365,is awesome say least however is faulty does not work properly need absolutely loves as well other grandchildren is staple ,2
366,got mostly plays looks online is good minimal not ,2
367,had wanted did not pick up did was not thought be ,2
368,great enjoy playing ,2
369,do not read still learning do not really even use ,2
370,is loves easy handle navigate was awesome ,2
371,bought old watch play entire is amazon centric appears be android based is repackaged as fireos does not have android was able install netflix did not test not load means toy intended play are not available alone is getting returned ,2
372,bought black disappointed are not more apps available be returning ,2
373,great read spend most aps available google ,2
374,only installed not be removed purchased only available ,2
375,screen be better got paid browsing ,2
376,have just need basic is good only are show ,2
377,basic easy carry be used ,2
378,use extra does need basic ,2
379,just ok even low more ,2
380,loves however had replace first bought not connect properly second works now ,2
381,good purchase first ,2
382,well builds starts acting randomly ok ,2
383,was gift ve heard was great loved ,2
384,kindle be unlocked pops remove cost additional so be aware is have owned previously were more flexible such being able read epub easily ,2
385,not be use scrolling is kinda sluggish compared ,2
386,very good not very good poor ,2
387,ok best think reading ,2
388,bought seen work fixed last took maybe ,2
389,good is little confusing ok ,2
390,get pay ,2
391,decent compared same ,2
392,great not really reading ,2
393,not expect too much has pixel already have set too much return now ,2
394,bought play ,2
395,purchased is amazing is acceptable low set same is too slow ,2
396,not impressed do not regret controls lot main got ,2
397,good very basic basic ,2
398,so did not want spend much want keeps busy ,2
399,bought got broken likes watch youtube are winding cant get youtube just terrible was getting begin was great ,2
400,bought previously had not much strips easily ,2
401,ok serves more ,2
402,is good is charging get loose not anymore first plan giving child make sure take charging dont let do own most likely even quicker are bit careless ,2
403,is painfully slow does not work many had install use bestbuy ironically not put using silk make sure disable caching is almost unusable are really annoying only come first turn do not even really notice are usually never purchase other make playing too is not quality galaxy good enough know re going break ,2
404,disposable almost works ok need sd card very little ,2
405,did little more do not ,2
406,nd liked first better located close change menu is slow have great internet freezes have shut reboot close open open new happy ,2
407,kindle browsing social traveling so use ,2
408,is good mostly use read however only works approved apps as long do not mind is good get better ,2
409,is fine however bought gb sd expand however have found are not able be saved external save so be warned run out consider larger internal ,2
410,purchased amazon check play sincei have been using check use getting am happy ,2
411,ok bought black get pay slow good simple ,2
412,well was used not fancy good ,2
413,have bought multiple continue too advise get have had few work good most upgrade are going play ,2
414,decent kinda slow ,2
415,was decent did needed do say app was bit rather weak is big also does multiple be rather annoying unremoveable otherwise used watch surf use few social apps good too side so say general decent are looking do more have smoother want pay more better ,2
416,only download wished have purchased more ,2
417,bought does basic affordable too fancy ,2
418,preferred are little complicated is ,2
419,reminds cheap older android is horrible is full rather use returning ,2
420,did is good not too heavy ,2
421,is agood great ,2
422,expect is fine is tablet better other more stable re looking basic watching fine are limited compared ,2
423,am giving away ,2
424,is relatively inexpensive be better ,2
425,make great is descent so far ,2
426,worst make ,2
427,little so far holding good ,2
428,brought old great play download apps tube ect do not now then makes weird blanks have turn work again ,2
429,bought little using so was not expecting be flag ship really is not best amazon android really ruins not get same get android store many apps amazon are just not same do get are mainly made basically made ,2
430,well good not bad ended getting toshiba built so need inexpensive so not use turns does have play store so was unable download be great started also control much spend unfortunately was not did not work ,2
431,great use was great ,2
432,are going like includes kindle has basic not very good appstore didnt doesnt include cause appstore have use most is good ,2
433,bought loves learning navigating is not as easy get use ,2
434,is ok just prefere android dont just being tied amazon loaded exclusive cheap ,2
435,loves just next also get screen few later has small ,2
436,was is happy new have own so not familiar yet was good ,2
437,good lil small does not look very fast ,2
438,is good old got do wants is play read amazon is little annoying had hard downloading was not compatible is dumb was getting ,2
439,gets done makes good play ,2
440,takes get used os once do is pretty decent ,2
441,pretty much get pay not bad not great inexpensive ,2
442,bought replace black died is built first started acting progressed not able hold had grown like bought strong lasts longer recommend does ,2
443,is good have lot main even asking does not accept googlecast is too expensive works fine ,2
444,bought stay play crossword needs ,2
445,bought decent paid find much different samsung so re used not be good is disappointed not get ve caught saying have paid little more gotten decent ,2
446,bought originally younger download learning few works well is little navigate is smooth operates expect ,2
447,not bad well is horrible so worth drops quite usb charging has ,2
448,is okay however is too small does not work well turns off have manually reset is nice however is not sharp enough does not make is not bigger ,2
449,has solid is not horribly slow has decent major is is low poor weak viewing makes fine cheap not bad ,2
450,decided wanted try reading little social instead using researched settled is low is slick easy use alexa is really cool tablet is awful slow is updating content say fb is is doing are let know is busy finally got several later including several complete restore is same tried best fwiw was do speed before contacted thought give try so get want just be patient remember tablet want better more ,2
451,is okay not do not cheat ,2
452,bought began fail hold first were good many here laud is disappointing did have different was immediate easy new only is recommend just want cheap throw otherwise just average ,2
453,is pay got black less uses are basic good need babysitter comes is pretty good ,2
454,nice just did not being stuck ,2
455,cheap just give whatever are annoying then again not expect too much however not recommend using very slow finicky re tired giving is just make sure take maybe even make own personal ,2
456,brought almost old have rather brought is too crazy spend was good loves mainly uses videos think are great great ,2
457,have not had set yet is enjoying had first set downloaded new took most do believe has been resolved ,2
458,good is bought given always choose ,2
459,cheap functional slower most not latest ,2
460,average general still ,2
461,slow compared laptop ,2
462,good play are visiting really needed buy instead only have is seemingly forced popping appear be built maybe learn someday stop ,2
463,offers more regular love ,2
464,ok good love play ,2
465,very little android bloated too many ,2
466,realize even have not add wanted wanted get so play instead was able install play was unable second actually be returning have has has been great entire ,2
467,bought auxiliary instead second have had so far other reading have not been able accomplish much most do not have compatible was cheap so even just decided keep ,2
468,got christmas was nice so far ,2
469,is very simple use somewhat difficult get connected once setup ran flawlessly memory little small ,2
470,durable small makes easy taking is not bad ,2
471,love got nephew great ,2
472,is based sideloaded few necessary allow be used essentially same android google are just only adequate otherwise good cheap really need ponder buying ,2
473,be great was easier find not charge downloading are labeled free is automatically charged dispute ,2
474,just remove most apps other then good ,2
475,bought old good paid just wish remove ,2
476,mostly used few ,2
477,bought stream netflix amazon prime play downloaded is sufficient not use is seriously underpowered bogged down pretty quickly attempted multi is not ipad particularly like do was very good ,2
478,entertains loves ,2
479,nice small do not like is have very secure does not let set had go set is bit alarming be more only put is putting be compromised make more easy put is only did not make star ,2
480,decent is are weak have cup get good seems have just switching fixes got goes served let watch seems adequate messaging writing is good enough has more do not being super considering gifting commented looked good be amazon is limited is only mobile actually enjoy sure really not interested digging so most good solid low ,2
481,very easy use made ,2
482,great bought now ,2
483,decent has great definitely buy again ,2
484,bought used mainly like reading prefers actual digital works great play fits larger not as expensive other was worth ,2
485,get lost use does have is not user friendly be ,2
486,nice decent bought ,2
487,do not care is so much better not get need is nice light ,2
488,expecting high ,2
489,bought loved great ,2
490,decent sometime do lag screen is bit low coming got not expect top installed google needing so normal adroid even is running ,2
491,has good low used ,2
492,decent ok really get pay not expect special works does do more having prime is not requirement take full pretty much amazon offer great streaming sesame etc netflix fine as well ,2
493,knows kindle went grabbed few up use pta little did know run special not standard needed run were not available much found around was very frustrating ,2
494,is very inexpensive cant really expect much compare is great very light watching primary is ,2
495,was bit disappointed android is pain ,2
496,is useful have prime invest prefer other android more paid was great ,2
497,great good play great ,2
498,great recommend purchase protective ,2
499,bought old great most does is not good playing locks sometimes runs little slower so had do again probably buy bigger ,2
500,bought less technically inclined learning apps was good ,2
501,bought have easily portable traveling is good basic is somewhat hard read is quite small do not have make much easier overall is good limited use ,2
502,elderly is pleased have still not real sure use happy has ,2
503,is cheap bought so not ruin crushing stop working nowhere shut never turn again does not have drop kiss good even light destroy ,2
504,bought broken are several add are not available not update so wind using many used do was not good be worthless do read lot so keeping still like new is disappointing ,2
505,great is short is not inform is charging ,2
506,freezes using started working good then started freezing playing ,2
507,bought use other lightweight is very slow general is slow much ,2
508,got because wanted be able use download is slow seems freeze use have memory have most saved not think cause run slow ,2
509,so wanted had thought about just buying had do not get wrong does meant do re looking play even surf net then re better getting upgraded said comes packed are unnecessary just plain wasteful however just need read then is perfect little saving ,2
510,had insignia are very low ,2
511,do not not recommend ,2
512,good not great surfing ,2
513,was low are really annoying is good well does not seem be able use google was ve chosen android ,2
514,was good very comfortable reading allowed install android be really awesome ,2
515,really was bit disappointed ,2
516,very young get pay little slow watching playing jwbroadcasting not great are usually hard so gets broken so far never buy ,2
517,good low good easy use ,2
518,re just going read play maybe surf is ok are heavy user tell pass not keep surfing ,2
519,is ok bought thinking be good little not expected little is able exit is lock is little be good wants does not want spend ,2
